node,load_type,outage_prob
load_bus_97,secondary,0.101333
load_bus_82,secondary,0.085333
load_bus_93,secondary,0.070333
load_bus_22,primary,0.048333
load_bus_32,primary,0.048333
load_bus_34,primary,0.041333
load_bus_77,secondary,0.030333
load_bus_78,secondary,0.024333
load_bus_81,secondary,0.016667
load_bus_96,secondary,0.013667
load_bus_117,secondary,0.012667
load_bus_43,primary,0.008333
load_bus_42,primary,0.007333
load_bus_38,primary,0.006333
load_bus_95,secondary,0.006333
load_bus_52,secondary,0.006
load_bus_51,secondary,0.005333
load_bus_56,secondary,0.005333
load_bus_47,primary,0.004333
load_bus_49,secondary,0.004333
load_bus_40,primary,0.003333
load_bus_50,secondary,0.002
load_bus_57,secondary,0.002
load_bus_66,secondary,0.002
load_bus_46,primary,0.000667
load_bus_44,primary,0.000333
load_bus_74,secondary,0.000333
load_bus_115,secondary,0.0
load_bus_23,primary,0.0
load_bus_33,primary,0.0
load_bus_39,primary,0.0
load_bus_41,primary,0.0
load_bus_45,primary,0.0
load_bus_48,secondary,0.0
load_bus_53,secondary,0.0
load_bus_54,secondary,0.0
load_bus_55,secondary,0.0
load_bus_58,secondary,0.0
load_bus_59,secondary,0.0
load_bus_61,secondary,0.0
load_bus_65,secondary,0.0
load_bus_69,secondary,0.0
load_bus_71,secondary,0.0
load_bus_72,secondary,0.0
load_bus_73,secondary,0.0
load_bus_75,secondary,0.0
load_bus_76,secondary,0.0
load_bus_79,secondary,0.0
load_bus_98,secondary,0.0
